A	B	GO_BMA	A_name	B_name
hsa04930	hsa04012	0.883	Type II diabetes mellitus	ErbB signaling pathway
hsa04930	hsa04066	0.875	Type II diabetes mellitus	HIF-1 signaling pathway
hsa04930	hsa04152	0.875	Type II diabetes mellitus	AMPK signaling pathway
hsa04930	hsa04211	0.877	Type II diabetes mellitus	Longevity regulating pathway
hsa04930	hsa04620	0.88	Type II diabetes mellitus	Toll-like receptor signaling pathway
hsa04930	hsa04625	0.875	Type II diabetes mellitus	C-type lectin receptor signaling pathway
hsa04930	hsa04660	0.884	Type II diabetes mellitus	T cell receptor signaling pathway
hsa04930	hsa04668	0.876	Type II diabetes mellitus	TNF signaling pathway
hsa04930	hsa04722	0.888	Type II diabetes mellitus	Neurotrophin signaling pathway
hsa04930	hsa04910	0.893	Type II diabetes mellitus	Insulin signaling pathway
hsa04930	hsa04917	0.9	Type II diabetes mellitus	Prolactin signaling pathway
hsa04930	hsa04920	0.877	Type II diabetes mellitus	Adipocytokine signaling pathway
hsa04930	hsa04929	0.891	Type II diabetes mellitus	GnRH secretion
hsa04930	hsa04931	0.89	Type II diabetes mellitus	Insulin resistance
hsa04930	hsa04935	0.89	Type II diabetes mellitus	Growth hormone synthesis, secretion and action
hsa04930	hsa04960	0.886	Type II diabetes mellitus	Aldosterone-regulated sodium reabsorption
hsa04930	hsa05135	0.877	Type II diabetes mellitus	Yersinia infection
hsa04930	hsa05168	0.879	Type II diabetes mellitus	Herpes simplex virus 1 infection
hsa04930	hsa05221	0.88	Type II diabetes mellitus	Acute myeloid leukemia
hsa04930	hsa05235	0.879	Type II diabetes mellitus	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa04931	hsa04066	0.919	Insulin resistance	HIF-1 signaling pathway
hsa04931	hsa04068	0.926	Insulin resistance	FoxO signaling pathway
hsa04931	hsa04071	0.914	Insulin resistance	Sphingolipid signaling pathway
hsa04931	hsa04152	0.939	Insulin resistance	AMPK signaling pathway
hsa04931	hsa04211	0.922	Insulin resistance	Longevity regulating pathway
hsa04931	hsa04660	0.917	Insulin resistance	T cell receptor signaling pathway
hsa04931	hsa04668	0.916	Insulin resistance	TNF signaling pathway
hsa04931	hsa04722	0.921	Insulin resistance	Neurotrophin signaling pathway
hsa04931	hsa04910	0.94	Insulin resistance	Insulin signaling pathway
hsa04931	hsa04917	0.919	Insulin resistance	Prolactin signaling pathway
hsa04931	hsa04920	0.949	Insulin resistance	Adipocytokine signaling pathway
hsa04931	hsa04932	0.918	Insulin resistance	Non-alcoholic fatty liver disease
hsa04931	hsa05135	0.914	Insulin resistance	Yersinia infection
hsa04931	hsa05160	0.921	Insulin resistance	Hepatitis C
hsa04931	hsa05161	0.917	Insulin resistance	Hepatitis B
hsa04931	hsa05168	0.924	Insulin resistance	Herpes simplex virus 1 infection
hsa04931	hsa05215	0.922	Insulin resistance	Prostate cancer
hsa04931	hsa05221	0.916	Insulin resistance	Acute myeloid leukemia
hsa04931	hsa05235	0.924	Insulin resistance	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa04931	hsa05417	0.914	Insulin resistance	Lipid and atherosclerosis
hsa04932	hsa04068	0.913	Non-alcoholic fatty liver disease	FoxO signaling pathway
hsa04932	hsa04151	0.914	Non-alcoholic fatty liver disease	PI3K-Akt signaling pathway
hsa04932	hsa04210	0.922	Non-alcoholic fatty liver disease	Apoptosis
hsa04932	hsa04380	0.914	Non-alcoholic fatty liver disease	Osteoclast differentiation
hsa04932	hsa04668	0.915	Non-alcoholic fatty liver disease	TNF signaling pathway
hsa04932	hsa04931	0.918	Non-alcoholic fatty liver disease	Insulin resistance
hsa04932	hsa04933	0.917	Non-alcoholic fatty liver disease	AGE-RAGE signaling pathway in diabetic complications
hsa04932	hsa04936	0.927	Non-alcoholic fatty liver disease	Alcoholic liver disease
hsa04932	hsa05010	0.914	Non-alcoholic fatty liver disease	Alzheimer disease
hsa04932	hsa05020	0.919	Non-alcoholic fatty liver disease	Prion disease
hsa04932	hsa05135	0.916	Non-alcoholic fatty liver disease	Yersinia infection
hsa04932	hsa05160	0.924	Non-alcoholic fatty liver disease	Hepatitis C
hsa04932	hsa05161	0.93	Non-alcoholic fatty liver disease	Hepatitis B
hsa04932	hsa05162	0.922	Non-alcoholic fatty liver disease	Measles
hsa04932	hsa05163	0.918	Non-alcoholic fatty liver disease	Human cytomegalovirus infection
hsa04932	hsa05167	0.92	Non-alcoholic fatty liver disease	Kaposi sarcoma-associated herpesvirus infection
hsa04932	hsa05168	0.926	Non-alcoholic fatty liver disease	Herpes simplex virus 1 infection
hsa04932	hsa05208	0.928	Non-alcoholic fatty liver disease	Chemical carcinogenesis - reactive oxygen species
hsa04932	hsa05415	0.93	Non-alcoholic fatty liver disease	Diabetic cardiomyopathy
hsa04932	hsa05417	0.933	Non-alcoholic fatty liver disease	Lipid and atherosclerosis
hsa04933	hsa04062	0.941	AGE-RAGE signaling pathway in diabetic complications	Chemokine signaling pathway
