Pathway name	Pathway ID	Pathway subclass (Human diseases)	10	20	40	ALL
AGE-RAGE signaling pathway in diabetic complications	hsa04933	Endocrine and metabolic disease	12	21	42	143
Acute myeloid leukemia	hsa05221	Cancer: specific types	11	21	43	129
African trypanosomiasis	hsa05143	Infectious disease: parasitic	11	21	42	73
Alcoholic liver disease	hsa04936	Endocrine and metabolic disease	11	21	41	64
Alcoholism	hsa05034	Substance dependence	11	21	41	106
Allograft rejection	hsa05330	Immune disease	11	21	41	53
Alzheimer disease	hsa05010	Neurodegenerative disease	11	21	41	82
Amoebiasis	hsa05146	Infectious disease: parasitic	11	21	41	98
Amphetamine addiction	hsa05031	Substance dependence	11	21	41	75
Amyotrophic lateral sclerosis	hsa05014	Neurodegenerative disease	11	21	24	24
Arrhythmogenic right ventricular cardiomyopathy	hsa05412	Cardiovascular disease	11	21	27	27
Asthma	hsa05310	Immune disease	11	21	41	41
Autoimmune thyroid disease	hsa05320	Immune disease	11	22	41	52
Bacterial invasion of epithelial cells	hsa05100	Infectious disease: bacterial	11	21	41	80
Basal cell carcinoma	hsa05217	Cancer: specific types	11	21	38	38
Bladder cancer	hsa05219	Cancer: specific types	11	21	41	108
Breast cancer	hsa05224	Cancer: specific types	11	21	42	109
Central carbon metabolism in cancer	hsa05230	Cancer: overview	11	21	41	95
Chagas disease	hsa05142	Infectious disease: parasitic	11	22	41	139
Chemical carcinogenesis - DNA adducts	hsa05204	Cancer: overview	11	15	15	15
Chemical carcinogenesis - reactive oxygen species	hsa05208	Cancer: overview	11	21	43	73
Chemical carcinogenesis - receptor activation	hsa05207	Cancer: overview	12	22	41	106
Choline metabolism in cancer	hsa05231	Cancer: overview	11	21	41	129
Chronic myeloid leukemia	hsa05220	Cancer: specific types	11	22	41	129
Cocaine addiction	hsa05030	Substance dependence	11	21	41	82
Colorectal cancer	hsa05210	Cancer: specific types	11	21	41	128
Coronavirus disease - COVID-19	hsa05171	Infectious disease: viral	11	21	41	98
Cushing syndrome	hsa04934	Endocrine and metabolic disease	11	21	41	92
Diabetic cardiomyopathy	hsa05415	Cardiovascular disease	12	21	41	50
