GEO	Disease/Target pathway	Nr. of samples	Genome coverage	Nr. of DEGs	Batch effect
GSE10586	Type I diabetes mellitus	27 (12/15)	18023	25 (18/7)	Corrected
GSE41762	Type I diabetes mellitus	77 (20/57)	18094	500 (303/197)	Corrected
GSE10715	Colorectal cancer	30 (19/11)	18210	500 (244/256)	Corrected
GSE13067	Colorectal cancer	72 (11/61)	18722	500 (279/221)	Corrected
GSE31737	Colorectal cancer	79 (40/39)	15188	500 (292/208)	Corrected
GSE4107	Colorectal cancer	22 (12/10)	18618	500 (297/203)	Corrected
GSE49355	Colorectal cancer	56 (39/17)	11233	500 (192/308)	Corrected
GSE50117	Colorectal cancer	18 (9/9)	10100	500 (311/189)	Not detected
GSE10810	Breast cancer	58 (31/27)	18543	500 (77/423)	Corrected
GSE26304	Breast cancer	115 (109/6)	16638	500 (107/393)	Corrected
GSE10927	Renal cell carcinoma	64 (54/10)	18392	500 (94/406)	Corrected
GSE15641	Renal cell carcinoma	92 (69/23)	11227	500 (103/397)	Corrected
GSE33371	Renal cell carcinoma	64 (54/10)	18392	500 (94/406)	Corrected
GSE53757	Renal cell carcinoma	143 (71/72)	18268	500 (173/327)	Corrected
GSE11682	Prostate cancer	33 (17/16)	19547	59 (28/31)	Corrected
GSE22260	Prostate cancer	30 (20/10)	15837	500 (329/171)	Not detected
GSE30521	Prostate cancer	22 (17/5)	15150	500 (292/208)	Corrected
GSE12643	Type II diabetes mellitus	20 (10/10)	7513	62 (49/13)	Corrected
GSE13760	Type II diabetes mellitus	21 (10/11)	10994	29 (10/19)	Corrected
GSE15653	Type II diabetes mellitus	18 (13/5)	11157	500 (303/197)	Corrected
GSE20966	Type II diabetes mellitus	20 (10/10)	18819	240 (111/129)	Corrected
GSE21340	Type II diabetes mellitus	20 (5/15)	3499	444 (176/268)	Corrected
GSE38642	Type II diabetes mellitus	63 (9/54)	18105	500 (189/311)	Corrected
GSE40234	Type II diabetes mellitus	62 (34/28)	19098	452 (202/250)	Corrected
GSE12685	Alzheimer disease	13 (6/7)	11141	500 (222/278)	Corrected
GSE28146	Alzheimer disease	29 (21/8)	17912	500 (171/329)	Corrected
GSE36980	Alzheimer disease	79 (32/47)	17837	500 (141/359)	Corrected
GSE37263	Alzheimer disease	16 (8/8)	15133	500 (169/331)	Corrected
GSE39420	Alzheimer disease	21 (14/7)	17947	500 (162/338)	Not detected
GSE4757	Alzheimer disease	20 (10/10)	18801	94 (65/29)	Corrected
GSE95587	Alzheimer disease	117 (84/33)	18297	500 (211/289)	Not detected
GSE97760	Alzheimer disease	19 (9/10)	10779	500 (397/103)	Not detected
